"","MacroBlockSize","ConcurrencyConstant","Min","Q1","Median","Mean","Q3","Max"
"21",4,32,161.137388916734,177.114860077133,177.265631578308,177.296366453676,177.4484791433,181.190430274381
"22",8,1,146.920370795355,151.615251177656,151.722197861925,151.691585558422,151.755406190557,157.756514631685
"23",8,2,213.299462516283,221.036946440954,221.068249338114,221.209617848228,221.097847543655,232.563101106393
"24",8,4,274.179987035879,280.625688577624,280.675127672187,280.732325811,280.734421037215,290.617773539311
"25",8,8,366.7273904576,370.676760454419,370.736239838926,370.820074447767,370.819931167109,374.836259808083
"26",8,16,355.911714393555,369.662199038947,369.843447269723,369.86572728625,370.007878576937,383.523185913501
"27",8,20,353.320467551271,366.461853658498,366.749884281269,366.673776142351,367.005648566822,378.163983418303
"28",8,32,291.692724386357,329.119804554891,329.4951731235,329.393379178846,329.795045571796,337.884275786852
"29",12,1,159.697917973528,165.395076589845,165.429181600519,165.49946409464,165.483745530415,170.921217676255
"30",12,2,239.016736296458,248.065165611,248.086269238101,248.07388497568,248.107223589164,260.869055955626
"31",12,4,307.073726566983,319.321323825101,319.546568531998,319.419386466437,319.63670773754,325.264351486513
"32",12,8,440.242421837544,444.014356516,444.101646495567,444.086227813003,444.185971804893,447.127337640407
"33",12,16,512.537042600358,517.708188639117,518.046607958272,518.085722980297,518.429441942766,530.932445018461
"34",12,20,504.982194058685,515.915900785926,516.233466900126,516.223584903873,516.53646086073,536.393213073854
"35",12,32,469.59821609398,494.676242151065,495.278152835662,495.106350842033,495.854104885715,525.874602932452
"36",16,1,162.904854695707,169.563508590866,169.5737448886,169.593593849517,169.58486397177,176.689140619822
"37",16,2,258.886271261035,269.109379569339,269.208502160769,269.257500023885,269.245404919094,287.572045289707
"38",16,4,323.147219963861,336.716921532313,336.790646134081,336.930520285717,337.08352839011,355.917902917657
"39",16,8,478.430291742157,498.921938440676,499.275922752818,498.836536241832,499.417315771706,508.423774826126
"40",16,16,612.232266764139,625.003494284751,625.474844131954,625.709063122698,625.883860492977,653.544762252915
"41",16,20,623.823896026452,641.028335087773,641.584800001353,641.422878122904,642.223889010072,653.140169492265
"42",16,32,515.453666095356,583.986164786657,584.616512087715,583.956593719879,585.182151458431,611.048344823521
"43",20,1,168.860704191149,173.998925716713,174.012281926068,174.507052954514,174.901438732326,183.438025128894
"44",20,2,269.328269534532,281.079048963217,281.12192552878,281.175197848236,281.199169967436,295.8325798231
"45",20,4,342.304802761448,350.609860037932,350.654270066917,350.887285883664,350.796665356789,362.979994831274
"46",20,8,509.242487617266,533.724996747752,533.844762310098,533.681999530636,533.963693136015,547.443606150741
"47",20,16,670.299778026392,681.138576125058,681.669338207403,681.806687608042,682.095936431526,718.561668827968
"48",20,20,676.499853802942,698.016997669576,698.593855718618,698.663036552686,699.1424052309,742.048400446248
"49",20,32,621.684033011613,653.064049639895,653.731504407972,654.048214704931,654.432560234682,829.388119370642
"50",24,1,176.015722516406,176.924829522768,177.930450355613,178.692045922885,179.819109014246,189.461235360908
"51",24,2,280.347902542299,296.790951638051,296.831508241733,296.650840316712,296.854570622096,311.847784975588
"52",24,4,355.419775723369,359.993884018908,360.144192462505,361.293126075626,361.844812015042,382.943840275809
"53",24,8,523.106623260238,542.063855961484,542.193455144399,542.269836784966,542.42530753055,563.724806207677
"54",24,16,680.611737573095,721.774231492999,722.228550672985,721.891014667899,722.680853643352,749.95229365972
"55",24,20,704.15814035676,742.481552814535,743.01528806814,742.979543734613,743.599216828386,788.2319099035
"56",24,32,713.594791420239,733.944211961133,734.474867338298,734.614290613856,735.130849529913,773.354382046077
